index,Districts,Headquarter,longitude,latitude,province
0,KANCHANPUR,Kanchanpur,80.28335595,28.84396525,7
1,KAILALI,Dhangadi,80.60821899,28.6959872,7
2,DARCHULA,Darchula,80.54784911,29.6684704,7
3,DOTI,Silgadi,80.97197473,29.2589437,7
4,DADELDHURA,Dadeldhura,80.50065085,29.2097008,7
5,BAJHANG,Chainpur,81.1962,29.5509,7
6,BAJURA,Bajura,81.57703044,29.6089362,7
7,BAITADI,Baitadi,80.55856659,29.5086945,7
8,ACHHAM,Mangalsen,81.20406498,29.09536125,7
9,RUKUM_W,Musikot,82.45,28.6391,6
10,SALYAN,Salyan,82.1667,28.3667,6
11,MUGU,Gamgadi,82.1584011,29.5474148,6
12,KALIKOT,Manma,81.61092206,29.14414405,6
13,JUMLA,Chandannath,82.18435127,29.31628335,6
14,JAJARKOT,Khalanga,82.1991,28.7397,6
15,HUMLA,Simkot,81.97281357,30.13592735,6
16,DOLPA,Dunai,82.894089,28.954298,6
17,DAILEKH,Dailekh,81.7034039,28.8710137,6
18,SURKHET,Birendranagar,81.60590039,28.5987825,6
19,PYUTHAN,Pyuthan,82.84930509,28.12780115,5
20,PALPA,Tansen,83.5469084,27.866366,5
21,NAWALPARASI_W,Ramgram,83.64807228,27.52708185,5
22,KAPILBASTU,Taulihawa,83.0525748,27.5436472,5
23,GULMI,Tamghas,83.247986,28.068787,5
24,DANG,Ghorahi,82.46430244,28.02543695,5
25,BARDIYA,Gularia,81.3421,28.2039,5
26,RUPANDEHI,Bhairahawa,83.4180283,27.6844782,5
27,BANKE,Nepalgunj,81.6497064,28.0653558,5
28,RUKUM_E,Rukumkot,82.601069,28.6254129,5
29,ARGHAKHANCHI,Sandhikharka,83.15241887,27.9653297,5
30,ROLPA,Liwang,82.6346,28.3023,5
31,PARBAT,Kusma,83.6867,28.2197,4
32,NAWALPARASI_E,Kawasoti,84.14349789,27.6514077,4
33,MYAGDI,Beni,83.52372502,28.35502585,4
34,MUSTANG,Jomsom,83.7304953,28.7838097,4
35,MANANG,Chame,84.25987034,28.5245392,4
36,LAMJUNG,Besisahar,84.376144,28.231316,4
37,KASKI,Pokhara,83.991402,28.209538,4
38,GORKHA,Gorkha,84.60585945,27.97749565,4
39,TANAHU,Damauli,84.2686174,27.9770635,4
40,BAGLUNG,Baglung,83.14253601,28.3563353,4
41,SYANGJA,Putalibazar,83.8841294,28.09155715,4
42,NUWAKOT,Bidur,85.13080277,27.91979945,3
43,MAKAWANPUR,Hetauda,85.01009335,27.4187156,3
44,LALITPUR,Lalitpur,85.31838882,27.6676649,3
45,KABHREPALANCHOK,Dhulikhel,85.552917,27.618921,3
46,KATHMANDU,Kathmandu,85.3205817,27.708317,3
47,DOLAKHA,Charikot,86.173241,27.743189,3
48,DHADING,Dhading Besi,84.8952805,27.9108933,3
49,CHITAWAN,Bharatpur,84.430817,27.680672,3
50,BHAKTAPUR,Bhaktapur,85.428171,27.6720657,3
51,RAMECHHAP,Manthali,86.0589,27.3764,3
52,RASUWA,Dhunche,85.297249,28.112185,3
53,SINDHULI,Sindhulimadi,85.91233,27.210293,3
54,SINDHUPALCHOK,Chautara,85.714256,27.776522,3
55,SIRAHA,Siraha,86.209579,26.65531,2
56,SARLAHI,Malangwa,85.557388,26.855743,2
57,SAPTARI,Rajbiraj,86.75813933,26.53629745,2
58,RAUTAHAT,Gaur,85.27832983,26.7792885,2
59,PARSA,Birgunj,84.877998,27.012541,2
60,MAHOTTARI,Jaleswor,85.78904093,26.6420482,2
61,DHANUSHA,Janakpur,85.93643035,26.7281124,2
62,BARA,Kalaiya,84.9948784,27.02596445,2
63,SANKHUWASABHA,Khadbari,87.2365731,27.3545437,1
64,PANCHTHAR,Phidim,87.7651404,27.1474742,1
65,MORANG,Biratnagar,87.281617,26.4623007,1
66,OKHALDHUNGA,Okhaldhunga,86.44894556,27.33630235,1
67,KHOTANG,Diktel,86.793175,27.213278,1
68,JHAPA,Chandragadi,88.0657005,26.5691519,1
69,TERHATHUM,Terhathum,87.5346974,27.1290911,1
70,UDAYAPUR,Gaighat,86.699,26.7919,1
71,ILAM,Ilam,87.92030501,26.88540735,1
72,TAPLEJUNG,Taplejung,87.82137296,27.61047795,1
73,DHANKUTA,Dhankuta,87.343537,26.9774409,1
74,SUNSARI,Inaruwa,87.1408,26.604,1
75,BHOJPUR,Bhojpur,87.0510921,27.166632,1
76,SOLUKHUMBU,Salleri Solukhumbu,86.585868,27.5026073,1
